Município,Total,Única,Proporção casais sem filhos,Nível,Código,Índice de envelhecimento,Renda média 60+,nome,UF
aguiarnópolis,350.0,287.0,0.82,MU,1700301,30.0,1655.995,aguiarnópolis,17.0
aguiarnópolis,350.0,287.0,0.82,MU,1700301,100.22,1655.995,aguiarnópolis,17.0
aliança do tocantins,587.0,491.0,0.8364565587734242,MU,1700350,63.26,1732.595,aliança do tocantins,17.0
aliança do tocantins,587.0,491.0,0.8364565587734242,MU,1700350,36.0,1732.595,aliança do tocantins,17.0
aliança do tocantins,587.0,491.0,0.8364565587734242,MU,1700350,100.51,1732.595,aliança do tocantins,17.0
almas,645.0,501.0,0.7767441860465116,MU,1700400,39.09,1987.44,almas,17.0
almas,645.0,501.0,0.7767441860465116,MU,1700400,30.0,1987.44,almas,17.0
almas,645.0,501.0,0.7767441860465116,MU,1700400,107.17,1987.44,almas,17.0
alvorada,1079.0,901.0,0.835032437442076,MU,1700707,47.49,2620.46,alvorada,17.0
alvorada,1079.0,901.0,0.835032437442076,MU,1700707,47.49,2620.46,alvorada,43.0
alvorada,1079.0,901.0,0.835032437442076,MU,1700707,33.0,2620.46,alvorada,17.0
alvorada,1079.0,901.0,0.835032437442076,MU,1700707,33.0,2620.46,alvorada,43.0
alvorada,1079.0,901.0,0.835032437442076,MU,1700707,96.3,2620.46,alvorada,17.0
alvorada,1079.0,901.0,0.835032437442076,MU,1700707,96.3,2620.46,alvorada,43.0
ananás,1014.0,812.0,0.8007889546351085,MU,1701002,39.41,2682.3500000000004,ananás,17.0
ananás,1014.0,812.0,0.8007889546351085,MU,1701002,30.0,2682.3500000000004,ananás,17.0
ananás,1014.0,812.0,0.8007889546351085,MU,1701002,103.01,2682.3500000000004,ananás,17.0
angico,260.0,192.0,0.7384615384615385,MU,1701051,46.04,1255.26,angico,17.0
angico,260.0,192.0,0.7384615384615385,MU,1701051,34.0,1255.26,angico,17.0
angico,260.0,192.0,0.7384615384615385,MU,1701051,111.16,1255.26,angico,17.0
aparecida do rio negro,492.0,441.0,0.8963414634146342,MU,1701101,47.17,1726.045,aparecida do rio negro,17.0
aparecida do rio negro,492.0,441.0,0.8963414634146342,MU,1701101,33.0,1726.045,aparecida do rio negro,17.0
aparecida do rio negro,492.0,441.0,0.8963414634146342,MU,1701101,108.86,1726.045,aparecida do rio negro,17.0
aragominas,517.0,472.0,0.9129593810444874,MU,1701309,51.84,2491.3450000000003,aragominas,17.0
aragominas,517.0,472.0,0.9129593810444874,MU,1701309,35.0,2491.3450000000003,aragominas,17.0
aragominas,517.0,472.0,0.9129593810444874,MU,1701309,112.11,2491.3450000000003,aragominas,17.0
araguacema,677.0,577.0,0.8522895125553914,MU,1701903,48.42,1988.495,araguacema,17.0
araguacema,677.0,577.0,0.8522895125553914,MU,1701903,34.0,1988.495,araguacema,17.0
araguacema,677.0,577.0,0.8522895125553914,MU,1701903,107.96,1988.495,araguacema,17.0
araguaçu,1079.0,960.0,0.8897126969416126,MU,1702000,71.76,3156.075,araguaçu,17.0
araguaçu,1079.0,960.0,0.8897126969416126,MU,1702000,38.0,3156.075,araguaçu,17.0
araguaçu,1079.0,960.0,0.8897126969416126,MU,1702000,106.16,3156.075,araguaçu,17.0
araguaína,17825.0,14793.0,0.8299018232819074,MU,1702109,32.28,3179.79,araguaína,17.0
araguaína,17825.0,14793.0,0.8299018232819074,MU,1702109,30.0,3179.79,araguaína,17.0
araguaína,17825.0,14793.0,0.8299018232819074,MU,1702109,94.49,3179.79,araguaína,17.0
araguanã,489.0,415.0,0.8486707566462167,MU,1702158,38.28,1339.6799999999998,araguanã,17.0
araguanã,489.0,415.0,0.8486707566462167,MU,1702158,38.28,1339.6799999999998,araguanã,21.0
araguanã,489.0,415.0,0.8486707566462167,MU,1702158,31.0,1339.6799999999998,araguanã,17.0
araguanã,489.0,415.0,0.8486707566462167,MU,1702158,31.0,1339.6799999999998,araguanã,21.0
araguanã,489.0,415.0,0.8486707566462167,MU,1702158,104.36,1339.6799999999998,araguanã,17.0
araguanã,489.0,415.0,0.8486707566462167,MU,1702158,104.36,1339.6799999999998,araguanã,21.0
araguatins,2915.0,2346.0,0.8048027444253859,MU,1702208,38.03,1656.48,araguatins,17.0
araguatins,2915.0,2346.0,0.8048027444253859,MU,1702208,30.0,1656.48,araguatins,17.0
araguatins,2915.0,2346.0,0.8048027444253859,MU,1702208,101.39,1656.48,araguatins,17.0
arapoema,705.0,598.0,0.8482269503546099,MU,1702307,46.62,2007.535,arapoema,17.0
arapoema,705.0,598.0,0.8482269503546099,MU,1702307,34.0,2007.535,arapoema,17.0
