Município,Total,Única,Proporção casais sem filhos,Nível,Código,Índice de envelhecimento,Renda média 60+
Fazenda Nova (GO),970.0,883.0,0.9103092783505154,MU,5207600,100.21,2362.355
Fazenda Nova (GO),970.0,883.0,0.9103092783505154,MU,5207600,43.0,2362.355
Fazenda Nova (GO),970.0,883.0,0.9103092783505154,MU,5207600,102.03,2362.355
Firminópolis (GO),1457.0,1282.0,0.8798901853122855,MU,5207808,95.38,2055.975
Firminópolis (GO),1457.0,1282.0,0.8798901853122855,MU,5207808,40.0,2055.975
Firminópolis (GO),1457.0,1282.0,0.8798901853122855,MU,5207808,94.6,2055.975
Flores de Goiás (GO),1490.0,1149.0,0.7711409395973154,MU,5207907,39.31,2931.63
Flores de Goiás (GO),1490.0,1149.0,0.7711409395973154,MU,5207907,34.0,2931.63
Flores de Goiás (GO),1490.0,1149.0,0.7711409395973154,MU,5207907,110.86,2931.63
Formosa (GO),12793.0,10730.0,0.8387399359024467,MU,5208004,34.93,2986.4300000000003
Formosa (GO),12793.0,10730.0,0.8387399359024467,MU,5208004,32.0,2986.4300000000003
Formosa (GO),12793.0,10730.0,0.8387399359024467,MU,5208004,97.64,2986.4300000000003
Formoso (GO),646.0,576.0,0.891640866873065,MU,5208103,78.6,2222.335
Formoso (GO),646.0,576.0,0.891640866873065,MU,5208103,41.0,2222.335
Formoso (GO),646.0,576.0,0.891640866873065,MU,5208103,101.99,2222.335
Gameleira de Goiás (GO),480.0,429.0,0.89375,MU,5208152,62.24,5398.610000000001
Gameleira de Goiás (GO),480.0,429.0,0.89375,MU,5208152,39.0,5398.610000000001
Gameleira de Goiás (GO),480.0,429.0,0.89375,MU,5208152,107.32,5398.610000000001
Divinópolis de Goiás (GO),601.0,525.0,0.8735440931780366,MU,5208301,60.82,2089.925
Divinópolis de Goiás (GO),601.0,525.0,0.8735440931780366,MU,5208301,36.0,2089.925
Divinópolis de Goiás (GO),601.0,525.0,0.8735440931780366,MU,5208301,99.06,2089.925
Goianápolis (GO),1375.0,1231.0,0.8952727272727272,MU,5208400,40.13,2430.645
Goianápolis (GO),1375.0,1231.0,0.8952727272727272,MU,5208400,34.0,2430.645
Goianápolis (GO),1375.0,1231.0,0.8952727272727272,MU,5208400,100.68,2430.645
Goiandira (GO),690.0,582.0,0.8434782608695652,MU,5208509,104.27,2145.705
Goiandira (GO),690.0,582.0,0.8434782608695652,MU,5208509,41.0,2145.705
Goiandira (GO),690.0,582.0,0.8434782608695652,MU,5208509,97.66,2145.705
Goianésia (GO),9045.0,8002.0,0.8846876727473743,MU,5208608,46.19,2550.615
Goianésia (GO),9045.0,8002.0,0.8846876727473743,MU,5208608,33.0,2550.615
Goianésia (GO),9045.0,8002.0,0.8846876727473743,MU,5208608,98.26,2550.615
Goiânia (GO),189795.0,167740.0,0.8837956742801444,MU,5208707,57.01,5326.005
Goiânia (GO),189795.0,167740.0,0.8837956742801444,MU,5208707,35.0,5326.005
Goiânia (GO),189795.0,167740.0,0.8837956742801444,MU,5208707,90.01,5326.005
Goianira (GO),7707.0,6689.0,0.8679122875308162,MU,5208806,23.71,2120.09
Goianira (GO),7707.0,6689.0,0.8679122875308162,MU,5208806,31.0,2120.09
Goianira (GO),7707.0,6689.0,0.8679122875308162,MU,5208806,100.24,2120.09
Goiás (GO),3721.0,3259.0,0.8758398280032249,MU,5208905,89.88,2165.3650000000002
Goiás (GO),3721.0,3259.0,0.8758398280032249,MU,5208905,41.0,2165.3650000000002
Goiás (GO),3721.0,3259.0,0.8758398280032249,MU,5208905,98.1,2165.3650000000002
Goiatuba (GO),4597.0,4032.0,0.8770937567979117,MU,5209101,65.53,3412.29
Goiatuba (GO),4597.0,4032.0,0.8770937567979117,MU,5209101,36.0,3412.29
Goiatuba (GO),4597.0,4032.0,0.8770937567979117,MU,5209101,97.0,3412.29
Gouvelândia (GO),610.0,566.0,0.9278688524590164,MU,5209150,60.33,2599.8900000000003
Gouvelândia (GO),610.0,566.0,0.9278688524590164,MU,5209150,37.0,2599.8900000000003
Gouvelândia (GO),610.0,566.0,0.9278688524590164,MU,5209150,103.52,2599.8900000000003
Guapó (GO),2348.0,1999.0,0.8513628620102215,MU,5209200,43.68,2247.4849999999997
Guapó (GO),2348.0,1999.0,0.8513628620102215,MU,5209200,33.0,2247.4849999999997
Guapó (GO),2348.0,1999.0,0.8513628620102215,MU,5209200,98.1,2247.4849999999997
Guaraíta (GO),389.0,374.0,0.961439588688946,MU,5209291,105.57,1845.91
Guaraíta (GO),389.0,374.0,0.961439588688946,MU,5209291,46.0,1845.91
Guaraíta (GO),389.0,374.0,0.961439588688946,MU,5209291,99.27,1845.91
Guarani de Goiás (GO),465.0,386.0,0.8301075268817204,MU,5209408,65.54,1290.8
Guarani de Goiás (GO),465.0,386.0,0.8301075268817204,MU,5209408,38.0,1290.8
Guarani de Goiás (GO),465.0,386.0,0.8301075268817204,MU,5209408,107.78,1290.8
Guarinos (GO),360.0,301.0,0.8361111111111111,MU,5209457,96.31,2145.385
Guarinos (GO),360.0,301.0,0.8361111111111111,MU,5209457,43.0,2145.385
Guarinos (GO),360.0,301.0,0.8361111111111111,MU,5209457,109.81,2145.385
Heitoraí (GO),565.0,535.0,0.9469026548672567,MU,5209606,94.3,2745.005
Heitoraí (GO),565.0,535.0,0.9469026548672567,MU,5209606,42.0,2745.005
Heitoraí (GO),565.0,535.0,0.9469026548672567,MU,5209606,104.14,2745.005
Hidrolândia (GO),3168.0,2821.0,0.8904671717171717,MU,5209705,45.99,2846.28
Hidrolândia (GO),3168.0,2821.0,0.8904671717171717,MU,5209705,34.0,2846.28
Hidrolândia (GO),3168.0,2821.0,0.8904671717171717,MU,5209705,102.19,2846.28
Hidrolina (GO),479.0,451.0,0.941544885177453,MU,5209804,102.92,2316.685
Hidrolina (GO),479.0,451.0,0.941544885177453,MU,5209804,42.0,2316.685
Hidrolina (GO),479.0,451.0,0.941544885177453,MU,5209804,102.69,2316.685
Iaciara (GO),1081.0,915.0,0.8464384828862165,MU,5209903,42.3,1774.935
Iaciara (GO),1081.0,915.0,0.8464384828862165,MU,5209903,32.0,1774.935
Iaciara (GO),1081.0,915.0,0.8464384828862165,MU,5209903,102.37,1774.935
Inaciolândia (GO),834.0,752.0,0.9016786570743405,MU,5209937,60.69,1475.1399999999999
Inaciolândia (GO),834.0,752.0,0.9016786570743405,MU,5209937,36.0,1475.1399999999999
Inaciolândia (GO),834.0,752.0,0.9016786570743405,MU,5209937,101.08,1475.1399999999999
Indiara (GO),2134.0,1892.0,0.8865979381443299,MU,5209952,48.29,4090.8849999999998
Indiara (GO),2134.0,1892.0,0.8865979381443299,MU,5209952,35.0,4090.8849999999998
Indiara (GO),2134.0,1892.0,0.8865979381443299,MU,5209952,105.8,4090.8849999999998
Inhumas (GO),7328.0,6594.0,0.8998362445414847,MU,5210000,64.44,2593.255
Inhumas (GO),7328.0,6594.0,0.8998362445414847,MU,5210000,37.0,2593.255
Inhumas (GO),7328.0,6594.0,0.8998362445414847,MU,5210000,93.95,2593.255
Ipameri (GO),3283.0,2772.0,0.8443496801705757,MU,5210109,67.31,2584.84
Ipameri (GO),3283.0,2772.0,0.8443496801705757,MU,5210109,37.0,2584.84
Ipameri (GO),3283.0,2772.0,0.8443496801705757,MU,5210109,99.22,2584.84
Ipiranga de Goiás (GO),470.0,437.0,0.9297872340425531,MU,5210158,97.47,2032.67
Ipiranga de Goiás (GO),470.0,437.0,0.9297872340425531,MU,5210158,43.0,2032.67
Ipiranga de Goiás (GO),470.0,437.0,0.9297872340425531,MU,5210158,105.85,2032.67
Iporá (GO),5249.0,4891.0,0.9317965326728901,MU,5210208,77.74,3440.17
Iporá (GO),5249.0,4891.0,0.9317965326728901,MU,5210208,38.0,3440.17
Iporá (GO),5249.0,4891.0,0.9317965326728901,MU,5210208,95.37,3440.17
Israelândia (GO),395.0,340.0,0.8607594936708861,MU,5210307,122.69,1952.9650000000001
Israelândia (GO),395.0,340.0,0.8607594936708861,MU,5210307,44.0,1952.9650000000001
Israelândia (GO),395.0,340.0,0.8607594936708861,MU,5210307,98.3,1952.9650000000001
Itaberaí (GO),5748.0,5006.0,0.8709116214335421,MU,5210406,44.24,2649.995
Itaberaí (GO),5748.0,5006.0,0.8709116214335421,MU,5210406,33.0,2649.995
Itaberaí (GO),5748.0,5006.0,0.8709116214335421,MU,5210406,99.56,2649.995
Itaguari (GO),681.0,593.0,0.8707782672540382,MU,5210562,74.85,1680.92
Itaguari (GO),681.0,593.0,0.8707782672540382,MU,5210562,37.0,1680.92
Itaguari (GO),681.0,593.0,0.8707782672540382,MU,5210562,101.67,1680.92
Itaguaru (GO),755.0,680.0,0.9006622516556292,MU,5210604,117.4,1587.075
Itaguaru (GO),755.0,680.0,0.9006622516556292,MU,5210604,43.0,1587.075
Itaguaru (GO),755.0,680.0,0.9006622516556292,MU,5210604,100.57,1587.075
Itajá (GO),719.0,643.0,0.894297635605007,MU,5210802,78.58,2493.1949999999997
Itajá (GO),719.0,643.0,0.894297635605007,MU,5210802,38.0,2493.1949999999997
Itajá (GO),719.0,643.0,0.894297635605007,MU,5210802,97.12,2493.1949999999997
Itapaci (GO),2312.0,2005.0,0.8672145328719724,MU,5210901,50.69,2471.475
Itapaci (GO),2312.0,2005.0,0.8672145328719724,MU,5210901,35.0,2471.475
Itapaci (GO),2312.0,2005.0,0.8672145328719724,MU,5210901,100.73,2471.475
Itapirapuã (GO),1134.0,1052.0,0.927689594356261,MU,5211008,75.32,2625.135
Itapirapuã (GO),1134.0,1052.0,0.927689594356261,MU,5211008,40.0,2625.135
Itapirapuã (GO),1134.0,1052.0,0.927689594356261,MU,5211008,100.07,2625.135
Itapuranga (GO),3815.0,3654.0,0.9577981651376147,MU,5211206,88.19,2548.505
Itapuranga (GO),3815.0,3654.0,0.9577981651376147,MU,5211206,40.0,2548.505
Itapuranga (GO),3815.0,3654.0,0.9577981651376147,MU,5211206,97.95,2548.505
Itarumã (GO),858.0,764.0,0.8904428904428905,MU,5211305,58.07,3161.435
Itarumã (GO),858.0,764.0,0.8904428904428905,MU,5211305,37.0,3161.435
Itarumã (GO),858.0,764.0,0.8904428904428905,MU,5211305,105.84,3161.435
Itauçu (GO),942.0,814.0,0.8641188959660298,MU,5211404,93.25,2231.835
Itauçu (GO),942.0,814.0,0.8641188959660298,MU,5211404,41.0,2231.835
Itauçu (GO),942.0,814.0,0.8641188959660298,MU,5211404,96.84,2231.835
Itumbiara (GO),14334.0,12309.0,0.858727501046463,MU,5211503,56.77,3786.395
